section,row,status,evidence,coverage_estimate,blocker,next_action,count,percent,notes
summary,estimated_live_flow,partially_passing,"12 high-level flow stages; partial stages count as 0.5",63%,"Late-stage Physical Operating Address blocker","Use as current baseline",,63.0,"Closer to 50% than 75% overall"
summary,tracked_concept_coverage,partially_passing,"27 cumulative live-proven concepts out of 59 tracked concepts",46%,"Coverage still capped by unresolved blockers","Use ledger as cumulative source",27,45.8,"Exact denominator from field-concepts registry"
summary,evidence_confidence,partially_passing,"5 evidence pillars: fresh receipt, cumulative ledger, RUN62 units, latest-run scorecard/findings, post-toggle artifacts",60%,"Stale May 1 post-toggle bundle and latest-run-scoped reports reduce confidence","Use as conservative baseline confidence",,60.0,"Estimated"
summary,stale_or_missing_artifact_dependence,blocked,"4 capture-blocked concepts plus 7 missing-proof concepts",19%,"Stale or missing artifacts still block 11 concepts","Prioritize Physical Operating Address proof isolation",11,18.6,"34.4% of unresolved concepts"
dashboard,Bootstrap/resend,passing,"RUN61 receipt: bootstrapResendAttempted=true; bootstrapResendSucceeded=true",100%,,"Keep as known-good entry point",,,
dashboard,Gmail invite detection,passing,"RUN61 receipt: gmailPollAttempted=true; gmailInviteFound=true",100%,,"No action needed",,,
dashboard,Signing link extraction,passing,"RUN61 receipt: gmailSigningLinkExtracted=true",100%,,"No action needed",,,
dashboard,Signer open and warning handling,passing,"RUN61 receipt: openSignerAttempted=true; openSignerReachedSignerSurface=true; warning path not exercised",90%,"Warning branch not freshly exercised","Revisit only if warning path returns",,,
dashboard,Signer surface reached,passing,"RUN61 receipt: signerSurfaceReached=true",100%,,"No action needed",,,
dashboard,Field discovery,passing,"RUN61 receipt: fieldDiscoveryAttempted=true; fieldDiscoveryCompleted=true",100%,,"No action needed",,,
dashboard,Field inventory,passing,"RUN61 receipt: initialFieldCount=126; guardedExpansionInputFieldCount=126",100%,,"Preserve as current inventory baseline",,,
dashboard,Physical Operating Address toggle,partially_passing,"Candidate inventory, selection summary, calibrated evaluation, anchorless evaluation, and click completed; selectedToggleSlot=null",50%,"No bounded selected-slot result","Stop debug loop for now; capture the baseline",,,
dashboard,Post-toggle artifact capture,stale_evidence,"artifactsFresh=false; captureReportPresent=false; May 1 bundle unchanged",0%,"No fresh post-toggle artifacts","Do not rely on May 1 bundle as current proof",,,
dashboard,Field-local proof extraction,blocked,"Latest findings say field-local Physical Operating Address labels are still not isolated",0%,"Capture anchor/bounds/DOM selector too broad","Highest-value non-live resolver",,,
dashboard,business_mailing concepts,blocked,"RUN61 handoff/status keeps all four business_mailing concepts capture-blocked",0%,"No fresh field-local proof",,"4 of 4 blocked",0.0,
dashboard,Reports and findings refresh,stale_evidence,"reports:refresh and findings:open skipped in RUN61; latest reports are from May 13",0%,"Refresh intentionally skipped after fail-closed receipt","Use cumulative ledger for overall baseline",,,
dashboard,Overall test suite health,passing,"RUN62 safe npm run test:units passed with 417 passed, 0 failed, 0 skipped in about 16.3 seconds",100%,,"Keep as current non-live health check",417,100.0,
concepts,Already live-proven,passing,"Cumulative ledger live-proven concept list",27/59,,"Preserve as cumulative baseline",27,45.8,"Trusted cumulative live evidence"
concepts,Calibration-ready,partially_passing,"Ledger candidate classification: document_type",1/59,,"Use only if work resumes",1,1.7,"document_type"
concepts,Resolver-required,blocked,"registered_state plus four amount fields",5/59,"Target availability or separate editable-control proof needed","Resolver work before meaningful live validation",5,8.5,"registered_state|annual_revenue|highest_monthly_volume|average_ticket|max_ticket"
concepts,Missing field-local proof,blocked,"Stakeholder first/last name and five bank-address concepts",7/59,"Field-local proof still missing","Collect stronger proof before live mutation",7,11.9,"stakeholder_first_name|stakeholder_last_name|bank_address_line_1|bank_city|bank_state|bank_postal_code|bank_country"
concepts,Still capture-blocked,blocked,"Physical Operating Address post-toggle lane",4/59,"Stale or missing post-toggle evidence","Replace stale May 1 bundle with fresh field-local proof",4,6.8,"business_mailing_address_line_1|business_mailing_city|business_mailing_state|business_mailing_postal_code"
concepts,Unsafe or deferred,blocked,"Policy-sensitive, omitted-in-flow, sensitive-value, or finalization-adjacent concepts",10/59,"Intentional deferral or flow omission","Keep out of current baseline coverage claims",10,16.9,"website|date_of_birth|ein|ssn|routing_number|account_number|upload|acknowledgement_checkbox|signature|registered_country"
concepts,Unknown or unclassified,unknown,"Generic fallback address concepts do not have clean cumulative section-specific status",5/59,"Current evidence is section-specific rather than generic","Leave conservatively unclassified",5,8.5,"address_line_1|address_line_2|city|state|country"
